Date,Open*,High,Low,Close**,Volume,Market Cap,,
2015-11-02,7.20E-09,9.43E-09,7.21E-09,9.40E-09,47,-,,961
2015-11-03,9.40E-09,1.07E-08,8.94E-09,9.60E-09,57,-,,960
2015-11-04,9.60E-09,1.05E-08,8.78E-09,9.00E-09,18,-,,959
2015-11-05,9.00E-09,1.24E-08,8.33E-09,1.21E-08,70,-,,958
2015-11-06,1.21E-08,1.29E-08,1.06E-08,1.14E-08,34,-,,957
2015-11-07,1.14E-08,1.25E-08,1.09E-08,1.16E-08,22,-,,956
2015-11-08,1.16E-08,1.16E-08,1.06E-08,1.07E-08,4,-,,955
2015-11-09,1.07E-08,1.09E-08,9.40E-09,9.70E-09,13,-,,954
2015-11-10,9.70E-09,9.76E-09,6.91E-09,7.00E-09,62,-,,953
2015-11-11,7.00E-09,7.50E-09,6.50E-09,6.60E-09,24,-,,952
2015-11-12,6.60E-09,7.11E-09,6.18E-09,6.60E-09,22,-,,951
2015-11-13,6.60E-09,6.84E-09,6.25E-09,6.30E-09,0,-,,950
2015-11-14,6.30E-09,6.85E-09,5.90E-09,5.90E-09,11,-,,949
2015-11-15,5.90E-09,6.42E-09,5.75E-09,6.20E-09,2,-,,948
2015-11-16,6.20E-09,7.15E-09,5.95E-09,7.00E-09,12,-,,947
2015-11-17,7.00E-09,7.31E-09,7.02E-09,7.10E-09,1,-,,946
2015-11-18,7.10E-09,7.34E-09,6.44E-09,7.00E-09,4,-,,945
2015-11-19,6.80E-09,6.95E-09,6.52E-09,6.50E-09,0,-,,944
2015-11-20,6.50E-09,6.75E-09,6.31E-09,6.40E-09,8,-,,943
2015-11-21,6.30E-09,6.68E-09,6.31E-09,6.50E-09,1,-,,942
2015-11-22,6.50E-09,6.62E-09,5.75E-09,5.70E-09,22,-,,941
2015-11-23,5.70E-09,6.91E-09,5.09E-09,5.70E-09,27,-,,940
2015-11-24,5.60E-09,5.79E-09,5.36E-09,5.40E-09,5,-,,939
2015-11-25,5.40E-09,5.58E-09,5.13E-09,5.20E-09,5,-,,938
2015-11-26,5.20E-09,5.73E-09,5.24E-09,5.50E-09,2,-,,937
2015-11-27,5.50E-09,5.96E-09,5.28E-09,5.70E-09,7,-,,936
2015-11-28,5.70E-09,5.81E-09,5.02E-09,5.40E-09,3,-,,935
2015-11-29,5.40E-09,5.48E-09,4.92E-09,4.90E-09,0,-,,934
2015-11-30,4.90E-09,5.17E-09,4.84E-09,5.00E-09,7,-,,933
2015-12-01,5.00E-09,6.28E-09,4.50E-09,5.90E-09,37,-,,932
2015-12-02,6.00E-09,6.10E-09,4.98E-09,5.00E-09,10,-,,931
2015-12-03,5.00E-09,6.11E-09,4.89E-09,5.10E-09,43,-,,930
2015-12-04,5.10E-09,5.77E-09,4.62E-09,4.60E-09,15,-,,929
2015-12-05,4.60E-09,6.48E-09,4.64E-09,5.60E-09,24,-,,928
2015-12-06,5.60E-09,5.98E-09,4.83E-09,5.10E-09,10,-,,927
2015-12-07,5.00E-09,5.90E-09,5.05E-09,5.80E-09,3,-,,926
2015-12-08,5.80E-09,5.90E-09,5.03E-09,5.70E-09,11,-,,925
2015-12-09,5.70E-09,5.78E-09,5.09E-09,5.30E-09,13,-,,924
2015-12-10,5.30E-09,5.91E-09,4.84E-09,4.80E-09,27,-,,923
2015-12-11,4.80E-09,5.80E-09,4.84E-09,5.30E-09,5,-,,922
2015-12-12,5.30E-09,5.59E-09,4.93E-09,5.00E-09,0,-,,921
2015-12-13,4.90E-09,7.42E-09,4.93E-09,5.40E-09,66,-,,920
2015-12-14,5.40E-09,4.47E-08,5.40E-09,1.81E-08,479,-,,919
2015-12-15,1.81E-08,1.88E-08,5.08E-09,6.10E-09,228,-,,918
2015-12-16,6.10E-09,9.04E-09,5.20E-09,5.90E-09,3,-,,917
2015-12-17,5.90E-09,9.44E-09,4.91E-09,6.30E-09,21,-,,916
2015-12-18,6.30E-09,7.61E-09,5.34E-09,6.40E-09,2,-,,915
2015-12-19,6.50E-09,7.86E-09,5.35E-09,5.30E-09,10,-,,914
2015-12-20,5.30E-09,6.81E-09,5.11E-09,5.70E-09,4,-,,913
2015-12-21,5.80E-09,5.86E-09,5.09E-09,5.20E-09,1,-,,912
2015-12-22,5.20E-09,8.30E-09,5.21E-09,5.20E-09,23,-,,911
2015-12-23,5.20E-09,7.37E-09,5.25E-09,5.50E-09,0,-,,910
2015-12-24,5.60E-09,7.34E-09,5.51E-09,5.60E-09,0,-,,909
2015-12-25,5.60E-09,8.91E-09,5.63E-09,5.80E-09,6,-,,908
2015-12-26,5.90E-09,6.92E-09,5.25E-09,5.60E-09,1,-,,907
2015-12-27,5.70E-09,8.09E-09,5.38E-09,8.00E-09,7,-,,906
2015-12-28,8.00E-09,8.03E-09,5.77E-09,5.80E-09,0,-,,905
2015-12-29,5.80E-09,7.04E-09,5.81E-09,6.60E-09,6,-,,904
2015-12-30,6.70E-09,7.22E-09,6.25E-09,6.50E-09,11,-,,903
2015-12-31,6.50E-09,6.87E-09,6.31E-09,6.50E-09,2,-,,902
2016-01-01,6.50E-09,7.07E-09,6.38E-09,6.40E-09,8,-,,901
2016-01-02,6.40E-09,6.76E-09,6.10E-09,6.10E-09,8,-,,900
2016-01-03,6.10E-09,6.50E-09,5.93E-09,6.10E-09,12,-,,899
2016-01-04,6.10E-09,6.37E-09,5.96E-09,6.20E-09,2,-,,898
2016-01-05,6.20E-09,8.00E-09,6.15E-09,6.80E-09,37,-,,897
2016-01-06,6.80E-09,7.29E-09,6.19E-09,6.10E-09,13,-,,896
2016-01-07,6.10E-09,6.69E-09,6.07E-09,6.40E-09,6,-,,895
2016-01-08,6.50E-09,6.81E-09,5.77E-09,6.80E-09,17,-,,894
2016-01-09,7.40E-09,8.94E-09,6.70E-09,6.80E-09,62,-,,893
2016-01-10,6.80E-09,6.86E-09,6.03E-09,6.30E-09,4,-,,892
2016-01-11,6.30E-09,7.51E-09,6.23E-09,6.80E-09,23,-,,891
2016-01-12,6.80E-09,8.49E-09,6.77E-09,7.90E-09,14,-,,890
2016-01-13,7.80E-09,8.10E-09,7.30E-09,7.60E-09,6,-,,889
2016-01-14,7.60E-09,7.78E-09,7.41E-09,7.50E-09,4,-,,888
2016-01-15,7.50E-09,7.54E-09,6.19E-09,6.20E-09,14,-,,887
2016-01-16,6.20E-09,6.56E-09,5.93E-09,6.50E-09,4,-,,886
2016-01-17,6.50E-09,6.53E-09,6.06E-09,6.30E-09,0,-,,885
2016-01-18,6.20E-09,6.39E-09,5.86E-09,5.80E-09,8,-,,884
2016-01-19,5.90E-09,6.17E-09,5.60E-09,5.70E-09,9,-,,883
2016-01-20,5.70E-09,6.66E-09,5.67E-09,6.50E-09,8,-,,882
2016-01-21,6.50E-09,6.75E-09,6.29E-09,6.30E-09,5,-,,881
2016-01-22,6.30E-09,7.53E-09,6.30E-09,6.50E-09,3,-,,880
2016-01-23,6.60E-09,8.03E-09,6.66E-09,7.20E-09,13,-,,879
2016-01-24,7.20E-09,1.06E-08,7.25E-09,1.06E-08,19,-,,878
2016-01-25,1.06E-08,1.27E-08,9.09E-09,1.24E-08,15,-,,877
2016-01-26,1.24E-08,2.26E-08,9.99E-09,1.24E-08,34,-,,876
2016-01-27,1.61E-08,2.04E-08,8.00E-09,1.82E-08,55,-,,875
2016-01-28,1.81E-08,1.90E-08,6.42E-09,6.50E-09,4,-,,874
2016-01-29,6.50E-09,1.30E-08,5.83E-09,1.29E-08,27,-,,873
2016-01-30,1.29E-08,1.33E-08,7.04E-09,1.08E-08,11,-,,872
2016-01-31,1.09E-08,1.33E-08,6.99E-09,7.70E-09,73,-,,871
2016-02-01,7.80E-09,3.74E-08,7.29E-09,1.08E-08,490,-,,870
2016-02-02,2.00E-08,3.42E-08,1.17E-08,1.31E-08,37,-,,869
2016-02-03,1.31E-08,2.57E-08,1.06E-08,1.06E-08,5,-,,868
2016-02-04,1.06E-08,2.84E-08,1.06E-08,2.79E-08,12,-,,867
2016-02-05,2.77E-08,2.89E-08,1.22E-08,1.25E-08,54,-,,866
2016-02-06,1.26E-08,2.88E-08,1.22E-08,2.87E-08,83,-,,865
2016-02-07,2.87E-08,2.88E-08,1.57E-08,2.27E-08,18,-,,864
2016-02-08,2.27E-08,2.36E-08,1.19E-08,2.21E-08,6,-,,863
2016-02-09,2.21E-08,2.28E-08,1.26E-08,1.28E-08,2,-,,862
2016-02-10,1.27E-08,2.44E-08,1.27E-08,2.43E-08,19,-,,861
2016-02-11,2.42E-08,2.47E-08,3.60E-09,1.78E-08,217,-,,860
2016-02-12,1.80E-08,1.81E-08,1.01E-08,1.37E-08,6,-,,859
2016-02-13,1.37E-08,1.78E-08,1.05E-08,1.06E-08,1,-,,858
2016-02-14,1.56E-08,1.67E-08,1.31E-08,1.59E-08,2,-,,857
2016-02-15,1.59E-08,1.60E-08,1.18E-08,1.34E-08,7,-,,856
2016-02-16,1.49E-08,1.51E-08,1.16E-08,1.30E-08,14,-,,855
2016-02-17,1.30E-08,1.32E-08,1.11E-08,1.15E-08,12,-,,854
2016-02-18,1.15E-08,1.25E-08,1.07E-08,1.11E-08,16,-,,853
2016-02-19,1.11E-08,1.36E-08,1.11E-08,1.33E-08,15,-,,852
2016-02-20,1.33E-08,1.90E-08,6.39E-09,1.28E-08,180,-,,851
2016-02-21,1.28E-08,1.37E-08,1.15E-08,1.32E-08,14,-,,850
2016-02-22,1.33E-08,1.42E-08,1.19E-08,1.22E-08,31,-,,849
2016-02-23,1.22E-08,1.32E-08,1.18E-08,1.19E-08,6,-,,848
2016-02-24,1.18E-08,1.37E-08,1.18E-08,1.19E-08,9,-,,847
2016-02-25,1.19E-08,1.43E-08,1.18E-08,1.29E-08,34,-,,846
2016-02-26,1.29E-08,1.45E-08,1.22E-08,1.24E-08,4,-,,845
2016-02-27,1.24E-08,1.31E-08,1.09E-08,1.17E-08,21,-,,844
2016-02-28,1.17E-08,1.28E-08,1.10E-08,1.27E-08,13,-,,843
2016-02-29,1.27E-08,1.29E-08,1.20E-08,1.27E-08,12,-,,842
2016-03-01,1.27E-08,1.29E-08,1.15E-08,1.19E-08,8,-,,841
2016-03-02,1.18E-08,1.34E-08,1.17E-08,1.22E-08,8,-,,840
2016-03-03,1.21E-08,1.28E-08,1.15E-08,1.22E-08,5,-,,839
2016-03-04,1.22E-08,1.46E-08,1.20E-08,1.35E-08,36,-,,838
2016-03-05,1.35E-08,1.39E-08,1.26E-08,1.31E-08,2,-,,837
2016-03-06,1.31E-08,1.90E-08,1.28E-08,1.71E-08,91,-,,836
2016-03-07,1.72E-08,2.20E-08,1.21E-08,1.81E-08,38,-,,835
2016-03-08,1.79E-08,2.03E-08,9.51E-09,1.40E-08,141,-,,834
2016-03-09,1.40E-08,1.59E-08,1.06E-08,1.52E-08,36,-,,833
2016-03-10,1.52E-08,1.58E-08,1.10E-08,1.16E-08,15,-,,832
2016-03-11,1.19E-08,1.47E-08,1.14E-08,1.44E-08,18,-,,831
2016-03-12,1.45E-08,1.99E-08,1.28E-08,1.99E-08,21,-,,830
2016-03-13,1.99E-08,2.01E-08,1.25E-08,1.27E-08,34,-,,829
2016-03-14,1.25E-08,1.58E-08,1.23E-08,1.26E-08,19,-,,828
2016-03-15,1.26E-08,1.62E-08,1.18E-08,1.17E-08,21,-,,827
2016-03-16,1.18E-08,1.74E-08,1.14E-08,1.66E-08,24,-,,826
2016-03-17,1.67E-08,1.67E-08,1.01E-08,1.11E-08,2,-,,825
2016-03-18,1.10E-08,1.42E-08,1.07E-08,1.20E-08,2,-,,824
2016-03-19,1.21E-08,1.24E-08,1.10E-08,1.15E-08,3,-,,823
2016-03-20,1.15E-08,1.35E-08,8.68E-09,1.14E-08,2,-,,822
2016-03-21,1.14E-08,1.30E-08,1.08E-08,1.28E-08,8,-,,821
2016-03-22,1.28E-08,1.97E-08,1.10E-08,1.12E-08,12,-,,820
2016-03-23,1.12E-08,1.25E-08,1.10E-08,1.20E-08,28,-,,819
2016-03-24,1.20E-08,1.37E-08,1.16E-08,1.23E-08,21,-,,818
2016-03-25,1.24E-08,1.65E-08,1.21E-08,1.60E-08,14,-,,817
2016-03-26,1.60E-08,1.62E-08,1.30E-08,1.30E-08,47,-,,816
2016-03-27,1.30E-08,1.35E-08,1.28E-08,1.33E-08,8,-,,815
2016-03-28,1.32E-08,1.43E-08,1.23E-08,1.39E-08,2,-,,814
2016-03-29,1.39E-08,1.67E-08,1.32E-08,1.47E-08,12,-,,813
2016-03-30,1.54E-08,1.59E-08,1.23E-08,1.45E-08,8,-,,812
2016-03-31,1.43E-08,1.47E-08,1.21E-08,1.27E-08,19,-,,811
2016-04-01,1.27E-08,1.29E-08,1.16E-08,1.17E-08,3,-,,810
2016-04-02,1.17E-08,1.24E-08,1.10E-08,1.18E-08,20,-,,809
2016-04-03,1.17E-08,1.54E-08,1.06E-08,1.19E-08,18,-,,808
2016-04-04,1.19E-08,1.29E-08,1.04E-08,1.09E-08,14,-,,807
2016-04-05,1.09E-08,1.22E-08,1.02E-08,1.13E-08,16,-,,806
2016-04-06,1.14E-08,1.21E-08,1.07E-08,1.16E-08,5,-,,805
2016-04-07,1.15E-08,1.29E-08,1.14E-08,1.19E-08,4,-,,804
2016-04-08,1.19E-08,1.28E-08,9.58E-09,9.60E-09,11,-,,803
2016-04-09,9.70E-09,1.23E-08,9.33E-09,1.02E-08,12,-,,802
2016-04-10,1.02E-08,1.21E-08,1.01E-08,1.06E-08,2,-,,801
2016-04-11,1.05E-08,1.23E-08,1.01E-08,1.17E-08,3,-,,800
2016-04-12,1.17E-08,1.39E-08,1.18E-08,1.26E-08,5,-,,799
2016-04-13,1.26E-08,1.27E-08,9.81E-09,1.02E-08,2,-,,798
2016-04-14,1.02E-08,1.30E-08,1.01E-08,1.24E-08,4,-,,797
2016-04-15,1.25E-08,1.27E-08,8.04E-09,1.14E-08,9,-,,796
2016-04-16,1.15E-08,1.33E-08,1.14E-08,1.19E-08,9,-,,795
2016-04-17,1.19E-08,1.31E-08,1.05E-08,1.11E-08,25,-,,794
2016-04-18,1.11E-08,1.17E-08,1.04E-08,1.14E-08,7,-,,793
2016-04-19,1.14E-08,1.21E-08,1.05E-08,1.12E-08,27,-,,792
2016-04-20,1.12E-08,1.24E-08,1.13E-08,1.17E-08,8,-,,791
2016-04-21,1.16E-08,1.27E-08,1.16E-08,1.26E-08,7,-,,790
2016-04-22,1.26E-08,1.31E-08,1.19E-08,1.27E-08,17,-,,789
2016-04-23,1.27E-08,1.33E-08,1.22E-08,1.23E-08,8,-,,788
2016-04-24,1.23E-08,1.33E-08,1.22E-08,1.26E-08,4,-,,787
2016-04-25,1.26E-08,1.37E-08,1.23E-08,1.25E-08,2,-,,786
2016-04-26,1.24E-08,1.39E-08,1.25E-08,1.26E-08,13,-,,785
2016-04-27,1.26E-08,1.36E-08,1.19E-08,1.20E-08,131,-,,784
2016-04-28,1.20E-08,1.31E-08,1.17E-08,1.23E-08,10,-,,783
2016-04-29,1.23E-08,1.32E-08,1.21E-08,1.25E-08,3,-,,782
2016-04-30,1.25E-08,1.31E-08,1.21E-08,1.21E-08,23,-,,781
2016-05-01,1.21E-08,1.26E-08,1.15E-08,1.17E-08,2,-,,780
2016-05-02,1.16E-08,1.25E-08,1.13E-08,1.16E-08,16,-,,779
2016-05-03,1.15E-08,1.22E-08,1.04E-08,1.14E-08,21,-,,778
2016-05-04,1.13E-08,1.25E-08,1.12E-08,1.15E-08,8,-,,777
2016-05-05,1.15E-08,1.26E-08,1.10E-08,1.10E-08,4,-,,776
2016-05-06,1.10E-08,1.23E-08,8.91E-09,8.90E-09,10,-,,775
2016-05-07,8.90E-09,1.14E-08,6.01E-09,9.80E-09,165,-,,774
2016-05-08,9.60E-09,1.05E-08,9.09E-09,9.10E-09,19,-,,773
2016-05-09,9.10E-09,9.78E-09,8.66E-09,8.70E-09,14,-,,772
2016-05-10,8.70E-09,9.96E-09,8.72E-09,9.80E-09,43,-,,771
2016-05-11,9.00E-09,9.66E-09,8.31E-09,8.70E-09,37,-,,770
2016-05-12,8.70E-09,9.35E-09,8.64E-09,9.30E-09,34,-,,769
2016-05-13,9.00E-09,1.01E-08,8.79E-09,9.90E-09,32,-,,768
2016-05-14,9.90E-09,1.17E-08,8.57E-09,1.04E-08,34,-,,767
2016-05-15,1.04E-08,1.11E-08,9.22E-09,9.20E-09,22,-,,766
2016-05-16,9.20E-09,1.06E-08,9.28E-09,1.00E-08,7,-,,765
2016-05-17,9.90E-09,1.04E-08,9.38E-09,9.80E-09,2,-,,764
2016-05-18,9.80E-09,1.05E-08,9.30E-09,9.50E-09,24,-,,763
2016-05-19,9.50E-09,1.03E-08,9.30E-09,9.30E-09,4,-,,762
2016-05-20,9.20E-09,1.02E-08,9.20E-09,1.02E-08,1,-,,761
2016-05-21,1.02E-08,1.02E-08,8.46E-09,9.20E-09,24,-,,760
2016-05-22,9.20E-09,1.01E-08,8.42E-09,8.90E-09,9,-,,759
2016-05-23,8.80E-09,1.06E-08,8.89E-09,9.40E-09,17,-,,758
2016-05-24,9.40E-09,1.12E-08,8.50E-09,9.50E-09,77,-,,757
2016-05-25,9.50E-09,1.12E-08,9.45E-09,1.00E-08,28,-,,756
2016-05-26,1.00E-08,1.06E-08,9.29E-09,9.40E-09,34,-,,755
2016-05-27,9.40E-09,1.03E-08,9.05E-09,9.10E-09,16,-,,754
2016-05-28,9.10E-09,1.06E-08,8.69E-09,9.60E-09,38,-,,753
2016-05-29,9.60E-09,1.26E-08,9.24E-09,1.15E-08,144,-,,752
2016-05-30,1.15E-08,1.23E-08,1.11E-08,1.17E-08,19,-,,751
2016-05-31,1.17E-08,1.18E-08,1.03E-08,1.05E-08,23,-,,750
2016-06-01,1.05E-08,1.14E-08,1.03E-08,1.05E-08,10,-,,749
2016-06-02,1.05E-08,1.05E-08,9.38E-09,9.70E-09,52,-,,748
2016-06-03,9.80E-09,1.05E-08,9.46E-09,1.00E-08,11,-,,747
