,,,,,,,,
Date,Open*,High,Low,Close**,Volume,Market Cap,,
3-Sep-16,0.000006,0.000006,0.000006,0.000006,117,,546,
4-Sep-16,0.000006,0.000006,0.000006,0.000006,19,"19,572",545,
5-Sep-16,0.000006,0.000006,0.000006,0.000006,25,"23,163",544,
6-Sep-16,0.000006,0.000006,0.000001,0.000001,18,"24,599",543,
7-Sep-16,0.000001,0.000006,0.000001,0.000006,363,"6,699",542,
8-Sep-16,0.000006,0.000006,0.000005,0.000005,103,"29,306",541,
9-Sep-16,0.000005,0.000006,4.76E-07,0.000006,94,"28,601",540,
10-Sep-16,0.000006,0.000006,0.000002,0.000004,125,"35,339",539,
11-Sep-16,0.000004,0.000006,0.000004,0.000006,202,"21,669",538,
12-Sep-16,0.000006,0.000006,1.91E-07,1.91E-07,61,"37,549",537,
13-Sep-16,1.91E-07,2.30E-07,1.53E-07,2.29E-07,21,"1,236",536,
14-Sep-16,2.29E-07,2.30E-07,1.53E-07,1.53E-07,40,"1,539",535,
15-Sep-16,1.53E-07,3.84E-07,1.14E-07,3.05E-07,21,"1,159",534,
16-Sep-16,3.05E-07,3.05E-07,1.52E-07,1.90E-07,9,"2,390",533,
17-Sep-16,1.90E-07,2.29E-07,1.52E-07,1.52E-07,33,"1,538",532,
18-Sep-16,2.29E-07,2.67E-07,1.52E-07,1.62E-07,48,"2,064",531,
19-Sep-16,1.62E-07,1.68E-07,1.15E-07,1.15E-07,30,"1,503",530,
20-Sep-16,1.15E-07,3.08E-07,1.15E-07,1.54E-07,19,"1,099",529,
21-Sep-16,1.55E-07,1.89E-07,1.13E-07,1.15E-07,43,"1,586",528,
22-Sep-16,1.16E-07,1.54E-07,1.13E-07,1.13E-07,14,"1,229",527,
23-Sep-16,1.13E-07,1.89E-07,1.13E-07,1.14E-07,20,"1,248",526,
24-Sep-16,1.14E-07,2.30E-07,1.14E-07,1.52E-07,38,"1,309",525,
25-Sep-16,1.52E-07,1.52E-07,1.13E-07,1.14E-07,19,"1,776",524,
26-Sep-16,1.14E-07,1.93E-07,1.14E-07,1.16E-07,48,"1,362",523,
27-Sep-16,1.16E-07,1.55E-07,1.15E-07,1.15E-07,17,"1,435",522,
28-Sep-16,1.15E-07,1.16E-07,1.15E-07,1.15E-07,20,"1,516",521,
29-Sep-16,1.15E-07,2.31E-07,1.15E-07,1.92E-07,11,"1,541",520,
30-Sep-16,1.92E-07,1.93E-07,1.15E-07,1.15E-07,0,"2,676",519,
1-Oct-16,1.15E-07,1.92E-07,1.15E-07,1.15E-07,21,"1,654",518,
2-Oct-16,1.15E-07,1.92E-07,1.14E-07,1.15E-07,176,"1,699",517,
3-Oct-16,1.15E-07,1.16E-07,1.15E-07,1.15E-07,3,"1,736",516,
4-Oct-16,1.15E-07,1.53E-07,1.15E-07,1.53E-07,55,"1,776",515,
5-Oct-16,1.53E-07,1.93E-07,1.53E-07,1.54E-07,48,"2,423",514,
6-Oct-16,1.54E-07,1.92E-07,1.53E-07,1.54E-07,53,"2,486",513,
7-Oct-16,1.53E-07,2.32E-07,1.53E-07,1.54E-07,54,"2,521",512,
8-Oct-16,1.54E-07,2.31E-07,1.53E-07,1.92E-07,70,"2,583",511,
9-Oct-16,1.92E-07,1.93E-07,1.52E-07,1.53E-07,28,"3,287",510,
10-Oct-16,1.53E-07,2.28E-07,1.51E-07,2.28E-07,83,"2,656",509,
11-Oct-16,2.28E-07,2.28E-07,1.14E-07,1.14E-07,27,"4,022",508,
12-Oct-16,1.15E-07,1.15E-07,7.51E-08,7.51E-08,36,"2,049",507,
13-Oct-16,7.49E-08,7.85E-08,7.49E-08,7.81E-08,5,"1,360",506,
14-Oct-16,7.82E-08,7.83E-08,7.77E-08,7.79E-08,8,"1,452",505,
15-Oct-16,7.80E-08,7.83E-08,3.87E-08,3.87E-08,0,"1,470",504,
16-Oct-16,3.88E-08,7.81E-08,3.88E-08,7.77E-08,8,742,503,
17-Oct-16,7.78E-08,7.81E-08,3.86E-08,3.91E-08,4,"1,506",502,
18-Oct-16,3.95E-08,9.15E-08,3.84E-08,3.83E-08,60,776,501,
19-Oct-16,3.84E-08,7.67E-08,3.83E-08,7.60E-08,26,765,500,
20-Oct-16,7.61E-08,7.64E-08,3.78E-08,3.77E-08,1,"1,534",499,
21-Oct-16,3.79E-08,3.83E-08,3.76E-08,3.81E-08,1,773,498,
23-Oct-16,3.92E-08,3.94E-08,3.91E-08,3.91E-08,4,822,497,
24-Oct-16,3.92E-08,3.92E-08,3.87E-08,3.86E-08,4,830,496,
25-Oct-16,3.87E-08,3.92E-08,3.87E-08,3.90E-08,1,827,495,
26-Oct-16,3.91E-08,7.94E-08,3.90E-08,3.96E-08,21,848,494,
27-Oct-16,3.96E-08,4.06E-08,3.96E-08,4.02E-08,3,868,493,
28-Oct-16,4.03E-08,4.04E-08,3.95E-08,3.97E-08,1,896,492,
29-Oct-16,3.97E-08,4.10E-08,3.97E-08,4.09E-08,1,894,491,
30-Oct-16,4.09E-08,8.13E-08,4.04E-08,8.06E-08,49,931,490,
31-Oct-16,8.07E-08,8.11E-08,3.98E-08,3.99E-08,0,"1,858",489,
1-Nov-16,3.99E-08,4.15E-08,3.99E-08,4.08E-08,5,930,488,
2-Nov-16,4.09E-08,8.17E-08,4.05E-08,4.10E-08,20,958,487,
3-Nov-16,4.11E-08,4.18E-08,3.81E-08,3.86E-08,7,972,486,
4-Nov-16,3.85E-08,7.72E-08,3.82E-08,3.87E-08,36,921,485,
5-Nov-16,3.87E-08,3.93E-08,3.85E-08,3.86E-08,3,936,484,
6-Nov-16,3.86E-08,3.92E-08,3.84E-08,3.88E-08,7,943,483,
7-Nov-16,3.88E-08,7.76E-08,3.79E-08,3.83E-08,33,960,482,
8-Nov-16,3.83E-08,3.86E-08,3.82E-08,3.84E-08,3,957,481,
9-Nov-16,3.84E-08,3.94E-08,3.81E-08,3.86E-08,5,969,480,
10-Nov-16,3.85E-08,3.87E-08,3.81E-08,3.82E-08,8,982,479,
11-Nov-16,3.83E-08,3.84E-08,3.80E-08,3.81E-08,6,987,478,
12-Nov-16,3.81E-08,3.83E-08,3.75E-08,3.76E-08,0,992,477,
13-Nov-16,3.76E-08,3.91E-08,3.69E-08,3.86E-08,0,989,476,
14-Nov-16,3.86E-08,3.89E-08,3.87E-08,3.87E-08,14,"1,033",475,
15-Nov-16,3.88E-08,7.77E-08,3.87E-08,3.90E-08,13,"1,042",474,
16-Nov-16,3.89E-08,4.03E-08,3.89E-08,3.98E-08,0,"1,054",473,
17-Nov-16,4.06E-08,5.19E-07,3.94E-08,3.94E-08,70,"1,111",472,
18-Nov-16,3.95E-08,8.01E-08,3.95E-08,7.92E-08,39,"1,093",471,
19-Nov-16,7.95E-08,7.96E-08,3.94E-08,3.95E-08,6,"2,218",470,
20-Nov-16,3.96E-08,3.97E-08,3.90E-08,3.92E-08,4,"1,117",469,
21-Nov-16,3.93E-08,3.96E-08,3.92E-08,3.94E-08,4,"1,117",468,
22-Nov-16,3.95E-08,7.92E-08,3.91E-08,3.94E-08,3,"1,134",467,
23-Nov-16,3.96E-08,7.88E-08,3.93E-08,7.85E-08,4,"1,149",466,
24-Nov-16,7.86E-08,7.89E-08,3.89E-08,3.90E-08,5,"2,298",465,
25-Nov-16,3.91E-08,3.92E-08,3.89E-08,3.91E-08,3,"1,154",464,
26-Nov-16,3.92E-08,3.93E-08,3.88E-08,3.89E-08,21,"1,166",463,
27-Nov-16,3.90E-08,3.92E-08,3.88E-08,3.88E-08,4,"1,173",462,
28-Nov-16,3.89E-08,3.91E-08,3.88E-08,3.88E-08,3,"1,181",461,
29-Nov-16,3.89E-08,7.77E-08,3.87E-08,3.87E-08,26,"1,189",460,
30-Nov-16,3.88E-08,3.92E-08,3.88E-08,3.88E-08,12,"1,198",459,
1-Dec-16,3.89E-08,3.92E-08,3.89E-08,3.90E-08,5,"1,211",458,
2-Dec-16,3.91E-08,7.90E-08,3.92E-08,7.89E-08,11,"1,229",457,
3-Dec-16,7.89E-08,7.91E-08,3.91E-08,3.92E-08,0,"2,497",456,
4-Dec-16,3.93E-08,7.82E-08,3.90E-08,3.89E-08,7,"1,269",455,
5-Dec-16,3.88E-08,3.92E-08,3.33E-08,3.52E-08,4,"1,256",454,
6-Dec-16,3.48E-08,3.56E-08,3.49E-08,3.53E-08,10,"1,196",453,
7-Dec-16,3.54E-08,3.63E-08,3.51E-08,3.61E-08,6,"1,285",452,
8-Dec-16,3.60E-08,3.73E-08,3.60E-08,3.69E-08,5,"1,348",451,
9-Dec-16,3.69E-08,3.71E-08,3.68E-08,3.69E-08,40,"1,391",450,
10-Dec-16,3.69E-08,7.37E-08,3.64E-08,3.68E-08,3,"1,435",449,
11-Dec-16,3.68E-08,3.69E-08,3.63E-08,3.63E-08,9,"1,443",448,
12-Dec-16,3.64E-08,3.67E-08,3.62E-08,3.66E-08,8,"1,450",447,
