Date,Open*,High,Low,Close**,Volume,Market Cap,,
2016/9/3,0.000006,0.000006,0.000006,0.000006,117,,546,
2016/9/4,0.000006,0.000006,0.000006,0.000006,19,"19,572",545,
2016/9/5,0.000006,0.000006,0.000006,0.000006,25,"23,163",544,
2016/9/6,0.000006,0.000006,0.000001,0.000001,18,"24,599",543,
2016/9/7,0.000001,0.000006,0.000001,0.000006,363,"6,699",542,
2016/9/8,0.000006,0.000006,0.000005,0.000005,103,"29,306",541,
2016/9/9,0.000005,0.000006,4.76E-07,0.000006,94,"28,601",540,
2016/9/10,0.000006,0.000006,0.000002,0.000004,125,"35,339",539,
2016/9/11,0.000004,0.000006,0.000004,0.000006,202,"21,669",538,
2016/9/12,0.000006,0.000006,1.91E-07,1.91E-07,61,"37,549",537,
2016/9/13,1.91E-07,2.30E-07,1.53E-07,2.29E-07,21,"1,236",536,
2016/9/14,2.29E-07,2.30E-07,1.53E-07,1.53E-07,40,"1,539",535,
2016/9/15,1.53E-07,3.84E-07,1.14E-07,3.05E-07,21,"1,159",534,
2016/9/16,3.05E-07,3.05E-07,1.52E-07,1.90E-07,9,"2,390",533,
2016/9/17,1.90E-07,2.29E-07,1.52E-07,1.52E-07,33,"1,538",532,
2016/9/18,2.29E-07,2.67E-07,1.52E-07,1.62E-07,48,"2,064",531,
2016/9/19,1.62E-07,1.68E-07,1.15E-07,1.15E-07,30,"1,503",530,
2016/9/20,1.15E-07,3.08E-07,1.15E-07,1.54E-07,19,"1,099",529,
2016/9/21,1.55E-07,1.89E-07,1.13E-07,1.15E-07,43,"1,586",528,
2016/9/22,1.16E-07,1.54E-07,1.13E-07,1.13E-07,14,"1,229",527,
2016/9/23,1.13E-07,1.89E-07,1.13E-07,1.14E-07,20,"1,248",526,
2016/9/24,1.14E-07,2.30E-07,1.14E-07,1.52E-07,38,"1,309",525,
2016/9/25,1.52E-07,1.52E-07,1.13E-07,1.14E-07,19,"1,776",524,
2016/9/26,1.14E-07,1.93E-07,1.14E-07,1.16E-07,48,"1,362",523,
2016/9/27,1.16E-07,1.55E-07,1.15E-07,1.15E-07,17,"1,435",522,
2016/9/28,1.15E-07,1.16E-07,1.15E-07,1.15E-07,20,"1,516",521,
2016/9/29,1.15E-07,2.31E-07,1.15E-07,1.92E-07,11,"1,541",520,
2016/9/30,1.92E-07,1.93E-07,1.15E-07,1.15E-07,0,"2,676",519,
2016/10/1,1.15E-07,1.92E-07,1.15E-07,1.15E-07,21,"1,654",518,
2016/10/2,1.15E-07,1.92E-07,1.14E-07,1.15E-07,176,"1,699",517,
2016/10/3,1.15E-07,1.16E-07,1.15E-07,1.15E-07,3,"1,736",516,
2016/10/4,1.15E-07,1.53E-07,1.15E-07,1.53E-07,55,"1,776",515,
2016/10/5,1.53E-07,1.93E-07,1.53E-07,1.54E-07,48,"2,423",514,
2016/10/6,1.54E-07,1.92E-07,1.53E-07,1.54E-07,53,"2,486",513,
2016/10/7,1.53E-07,2.32E-07,1.53E-07,1.54E-07,54,"2,521",512,
2016/10/8,1.54E-07,2.31E-07,1.53E-07,1.92E-07,70,"2,583",511,
2016/10/9,1.92E-07,1.93E-07,1.52E-07,1.53E-07,28,"3,287",510,
2016/10/10,1.53E-07,2.28E-07,1.51E-07,2.28E-07,83,"2,656",509,
2016/10/11,2.28E-07,2.28E-07,1.14E-07,1.14E-07,27,"4,022",508,
2016/10/12,1.15E-07,1.15E-07,7.51E-08,7.51E-08,36,"2,049",507,
2016/10/13,7.49E-08,7.85E-08,7.49E-08,7.81E-08,5,"1,360",506,
2016/10/14,7.82E-08,7.83E-08,7.77E-08,7.79E-08,8,"1,452",505,
2016/10/15,7.80E-08,7.83E-08,3.87E-08,3.87E-08,0,"1,470",504,
2016/10/16,3.88E-08,7.81E-08,3.88E-08,7.77E-08,8,742,503,
2016/10/17,7.78E-08,7.81E-08,3.86E-08,3.91E-08,4,"1,506",502,
2016/10/18,3.95E-08,9.15E-08,3.84E-08,3.83E-08,60,776,501,
2016/10/19,3.84E-08,7.67E-08,3.83E-08,7.60E-08,26,765,500,
2016/10/20,7.61E-08,7.64E-08,3.78E-08,3.77E-08,1,"1,534",499,
2016/10/21,3.79E-08,3.83E-08,3.76E-08,3.81E-08,1,773,498,
2016/10/23,3.92E-08,3.94E-08,3.91E-08,3.91E-08,4,822,497,
2016/10/24,3.92E-08,3.92E-08,3.87E-08,3.86E-08,4,830,496,
2016/10/25,3.87E-08,3.92E-08,3.87E-08,3.90E-08,1,827,495,
2016/10/26,3.91E-08,7.94E-08,3.90E-08,3.96E-08,21,848,494,
2016/10/27,3.96E-08,4.06E-08,3.96E-08,4.02E-08,3,868,493,
2016/10/28,4.03E-08,4.04E-08,3.95E-08,3.97E-08,1,896,492,
2016/10/29,3.97E-08,4.10E-08,3.97E-08,4.09E-08,1,894,491,
2016/10/30,4.09E-08,8.13E-08,4.04E-08,8.06E-08,49,931,490,
2016/10/31,8.07E-08,8.11E-08,3.98E-08,3.99E-08,0,"1,858",489,
2016/11/1,3.99E-08,4.15E-08,3.99E-08,4.08E-08,5,930,488,
2016/11/2,4.09E-08,8.17E-08,4.05E-08,4.10E-08,20,958,487,
